Day,bitcoin,,in 8 month segments
4/14/2021,53,,
4/13/2021,48,,
4/12/2021,36,,
4/11/2021,34,,
4/10/2021,36,,
4/9/2021,31,,
4/8/2021,32,,
4/7/2021,36,,
4/6/2021,35,,
4/5/2021,36,,
4/4/2021,35,,
4/3/2021,36,,
4/2/2021,37,,
4/1/2021,42,,
3/31/2021,39,,
3/30/2021,40,,
3/29/2021,37,,
3/28/2021,33,,
3/27/2021,37,,
3/26/2021,38,,
3/25/2021,46,,
3/24/2021,42,,
3/23/2021,37,,
3/22/2021,38,,
3/21/2021,36,,
3/20/2021,35,,
3/19/2021,37,,
3/18/2021,42,,
3/17/2021,42,,
3/16/2021,44,,
3/15/2021,49,,
3/14/2021,54,,
3/13/2021,56,,
3/12/2021,43,,
3/11/2021,44,,
3/10/2021,46,,
3/9/2021,47,,
3/8/2021,40,,
3/7/2021,39,,
3/6/2021,35,,
3/5/2021,41,,
3/4/2021,42,,
3/3/2021,44,,
3/2/2021,45,,
3/1/2021,52,,
2/28/2021,52,,
2/27/2021,47,,
2/26/2021,58,,
2/25/2021,56,,
2/24/2021,71,,
2/23/2021,94,,
2/22/2021,74,,
2/21/2021,66,,
2/20/2021,76,,
2/19/2021,66,,
2/18/2021,61,,
2/17/2021,68,,
2/16/2021,61,,
2/15/2021,51,,
2/14/2021,53,,
2/13/2021,48,,
2/12/2021,56,,
2/11/2021,58,,
2/10/2021,64,,
2/9/2021,97,,
2/8/2021,80,,
2/7/2021,37,,
2/6/2021,41,,
2/5/2021,34,,
2/4/2021,37,,
2/3/2021,35,,
2/2/2021,34,,
2/1/2021,37,,
1/31/2021,35,,
1/30/2021,44,,
1/29/2021,64,,
1/28/2021,39,,
1/27/2021,38,,
1/26/2021,35,,
1/25/2021,37,,
1/24/2021,36,,
1/23/2021,38,,
1/22/2021,54,,
1/21/2021,50,,
1/20/2021,41,,
1/19/2021,43,,
1/18/2021,42,,
1/17/2021,45,,
1/16/2021,48,,
1/15/2021,57,,
1/14/2021,65,,
1/13/2021,65,,
1/12/2021,77,,
1/11/2021,100,,
1/10/2021,66,,
1/9/2021,68,,
1/8/2021,89,,
1/7/2021,88,,
1/6/2021,61,,
1/5/2021,53,,
1/4/2021,65,,
1/3/2021,79,,
1/2/2021,65,,
1/1/2021,37,,
12/31/2020,41,,
12/30/2020,41,,
12/29/2020,35,,
12/28/2020,41,,
12/27/2020,52,,
12/26/2020,37,,
12/25/2020,28,,
12/24/2020,23,,
12/23/2020,26,,
12/22/2020,27,,
12/21/2020,32,,
12/20/2020,30,,
12/19/2020,32,,
12/18/2020,35,,
12/17/2020,54,,
12/16/2020,33,,
12/15/2020,17,,
12/14/2020,17,,
12/13/2020,17,,
12/12/2020,15,,
12/11/2020,17,,
12/10/2020,16,,
12/9/2020,18,,
12/8/2020,18,,
12/7/2020,18,,
12/6/2020,17,,
12/5/2020,18,,
12/4/2020,21,,
12/3/2020,21,,
12/2/2020,21,,
12/1/2020,28,,
11/30/2020,27,,
11/29/2020,19,,
11/28/2020,20,,
11/27/2020,23,,
11/26/2020,30,,
11/25/2020,28,,
11/24/2020,29,,
11/23/2020,23,,
11/22/2020,23,,
11/21/2020,26,,
11/20/2020,25,,
11/19/2020,24,,
11/18/2020,30,,
11/17/2020,24,,
11/16/2020,19,,
11/15/2020,14,,
11/14/2020,15,,
11/13/2020,18,,
11/12/2020,17,,
11/11/2020,16,,
11/10/2020,15,,
11/9/2020,17,,
11/8/2020,16,,
11/7/2020,17,,
11/6/2020,23,,
11/5/2020,20,,
11/4/2020,13,,
11/3/2020,13,,
11/2/2020,14,,
11/1/2020,13,,
10/31/2020,14,,
10/30/2020,14,,
10/29/2020,15,,
10/28/2020,17,,
10/27/2020,16,,
10/26/2020,14,,
10/25/2020,13,,
10/24/2020,13,,
10/23/2020,15,,
10/22/2020,20,,
10/21/2020,18,,
10/20/2020,11,,
10/19/2020,10,,
10/18/2020,9,,
10/17/2020,9,,
10/16/2020,10,,
10/15/2020,10,,
10/14/2020,10,,
10/13/2020,10,,
10/12/2020,11,,
10/11/2020,9,,
10/10/2020,11,,
10/9/2020,9,,
10/8/2020,9,,
10/7/2020,9,,
10/6/2020,9,,
10/5/2020,9,,
10/4/2020,9,,
10/3/2020,8,,
10/2/2020,9,,
10/1/2020,9,,
9/30/2020,9,,
9/29/2020,10,,
9/28/2020,9,,
9/27/2020,9,,
9/26/2020,9,,
9/25/2020,9,,
9/24/2020,10,,
9/23/2020,10,,
9/22/2020,10,,
9/21/2020,10,,
9/20/2020,10,,
9/19/2020,9,,
9/18/2020,10,,
9/17/2020,10,,
9/16/2020,11,,
9/15/2020,11,,
9/14/2020,11,,
9/13/2020,10,,
9/12/2020,10,,
9/11/2020,11,,
9/10/2020,11,,
9/9/2020,11,,
9/8/2020,12,,
9/7/2020,12,,
9/6/2020,12,,
9/5/2020,14,,
9/4/2020,14,,
9/3/2020,14,,
9/2/2020,13,,
9/1/2020,12,,
8/31/2020,11,,
8/30/2020,11,,
8/29/2020,11,,
8/28/2020,12,,
8/27/2020,12,,
8/26/2020,11,,
8/25/2020,12,,
8/24/2020,12,,
8/23/2020,11,,
8/22/2020,12,,
8/21/2020,13,,
8/20/2020,13,,
8/19/2020,14,,
8/18/2020,15,,
8/17/2020,15,,
8/16/2020,13,,end first segment
8/15/2020,36,,
8/14/2020,38,,
8/13/2020,40,,
8/12/2020,37,,
8/11/2020,42,,
8/10/2020,44,,
8/9/2020,40,,
8/8/2020,40,,
8/7/2020,45,,
8/6/2020,45,,
8/5/2020,44,,
8/4/2020,42,,
8/3/2020,46,,
8/2/2020,53,,
8/1/2020,53,,
7/31/2020,43,,
7/30/2020,43,,
7/29/2020,46,,
7/28/2020,60,,
7/27/2020,57,,
7/26/2020,40,,
7/25/2020,33,,
7/24/2020,29,,
7/23/2020,32,,
7/22/2020,30,,
7/21/2020,32,,
7/20/2020,28,,
7/19/2020,29,,
7/18/2020,44,,
7/17/2020,31,,
7/16/2020,43,,
7/15/2020,34,,
7/14/2020,31,,
7/13/2020,29,,
7/12/2020,27,,
7/11/2020,27,,
7/10/2020,29,,
7/9/2020,30,,
7/8/2020,32,,
7/7/2020,29,,
7/6/2020,30,,
7/5/2020,27,,
7/4/2020,27,,
7/3/2020,30,,
7/2/2020,30,,
7/1/2020,30,,
6/30/2020,31,,
6/29/2020,30,,
6/28/2020,32,,
6/27/2020,31,,
6/26/2020,31,,
6/25/2020,32,,
6/24/2020,31,,
6/23/2020,34,,
6/22/2020,31,,
6/21/2020,25,,
6/20/2020,29,,
6/19/2020,29,,
6/18/2020,32,,
6/17/2020,31,,
6/16/2020,35,,
6/15/2020,35,,
6/14/2020,31,,
6/13/2020,30,,
6/12/2020,33,,
6/11/2020,39,,
6/10/2020,34,,
6/9/2020,34,,
6/8/2020,33,,
6/7/2020,33,,
6/6/2020,33,,
6/5/2020,36,,
6/4/2020,37,,
6/3/2020,39,,
6/2/2020,48,,
6/1/2020,36,,
5/31/2020,35,,
5/30/2020,34,,
5/29/2020,36,,
5/28/2020,36,,
5/27/2020,38,,
5/26/2020,37,,
5/25/2020,41,,
5/24/2020,37,,
5/23/2020,35,,
5/22/2020,42,,
5/21/2020,44,,
5/20/2020,43,,
5/19/2020,44,,
5/18/2020,47,,
5/17/2020,48,,
5/16/2020,45,,
5/15/2020,50,,
5/14/2020,56,,
5/13/2020,55,,
5/12/2020,67,,
5/11/2020,88,,
5/10/2020,76,,
5/9/2020,59,,
5/8/2020,71,,
5/7/2020,64,,
5/6/2020,51,,
5/5/2020,44,,
5/4/2020,46,,
5/3/2020,48,,
5/2/2020,46,,
5/1/2020,50,,
4/30/2020,61,,
4/29/2020,56,,
4/28/2020,38,,
4/27/2020,40,,
4/26/2020,40,,
4/25/2020,38,,
4/24/2020,40,,
4/23/2020,39,,
4/22/2020,35,,
4/21/2020,34,,
4/20/2020,36,,
4/19/2020,36,,
4/18/2020,35,,
4/17/2020,35,,
4/16/2020,38,,
4/15/2020,35,,
4/14/2020,36,,
4/13/2020,39,,
4/12/2020,36,,
4/11/2020,36,,
4/10/2020,41,,
4/9/2020,37,,
4/8/2020,36,,
4/7/2020,41,,
4/6/2020,40,,
4/5/2020,34,,
4/4/2020,36,,
4/3/2020,38,,
4/2/2020,40,,
4/1/2020,36,,
3/31/2020,34,,
3/30/2020,40,,
3/29/2020,38,,
3/28/2020,40,,
3/27/2020,40,,
3/26/2020,39,,
3/25/2020,45,,
3/24/2020,51,,
3/23/2020,51,,
3/22/2020,47,,
3/21/2020,51,,
3/20/2020,60,,
3/19/2020,60,,
3/18/2020,57,,
3/17/2020,59,,
3/16/2020,71,,
3/15/2020,57,,
3/14/2020,63,,
3/13/2020,100,,
3/12/2020,76,,
3/11/2020,35,,
3/10/2020,41,,
3/9/2020,53,,
3/8/2020,31,,
3/7/2020,28,,
3/6/2020,33,,
3/5/2020,32,,
3/4/2020,32,,
3/3/2020,31,,
3/2/2020,31,,
3/1/2020,29,,
2/29/2020,32,,
2/28/2020,37,,
2/27/2020,36,,
2/26/2020,35,,
2/25/2020,34,,
2/24/2020,33,,
