Month, Bitcoin
2013-05,3
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,3
2013-11,11
2013-12,12
2014-01,8
2014-02,8
2014-03,6
2014-04,4
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,2
2015-05,2
2015-06,2
2015-07,3
2015-08,3
2015-09,2
2015-10,3
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,4
2016-06,5
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,4
2016-12,5
2017-01,6
2017-02,6
2017-03,7
2017-04,6
2017-05,14
2017-06,14
2017-07,12
2017-08,20
2017-09,21
2017-10,21
2017-11,45
2017-12,100
2018-01,55
2018-02,41
2018-03,23
2018-04,18
2018-05,14
2018-06,13
2018-07,12
2018-08,13
2018-09,11
2018-10,9
2018-11,13
2018-12,13
2019-01,10
2019-02,9
2019-03,8
2019-04,12
2019-05,17
2019-06,19
2019-07,18
2019-08,15
2019-09,13
2019-10,12
2019-11,11
2019-12,10
2020-01,13
2020-02,14
2020-03,19
2020-04,16
2020-05,20
2020-06,13
2020-07,14
2020-08,16
2020-09,12
2020-10,14
2020-11,24
2020-12,31
2021-01,62
2021-02,65
2021-03,48
2021-04,43
