Time,CAD,EUR,GBP,JPY,KRW,USD
2013-09-18 00:00:00 UTC,,4.17998321,,,,
2013-09-19 00:00:00 UTC,,2.5,,,,
2013-09-20 00:00:00 UTC,,,,,,
2013-09-21 00:00:00 UTC,,1.5,,,,
2013-09-22 00:00:00 UTC,,1.0,,,,
2013-09-23 00:00:00 UTC,,0.5,,,,
2013-09-24 00:00:00 UTC,,0.05506,,,,
2013-09-25 00:00:00 UTC,,0.25,,,,
2013-09-26 00:00:00 UTC,,,,,,
2013-09-27 00:00:00 UTC,,,,,,
2013-09-28 00:00:00 UTC,,0.01,,,,
2013-09-29 00:00:00 UTC,,6.26761904,,,,
2013-09-30 00:00:00 UTC,,1.63546454,,,,
2013-10-01 00:00:00 UTC,,0.73125743,,,,
2013-10-02 00:00:00 UTC,,9.11111,,,,
2013-10-03 00:00:00 UTC,,59.86229981,,,,
2013-10-04 00:00:00 UTC,,2.169,,,,
2013-10-05 00:00:00 UTC,,0.54,,,,
2013-10-06 00:00:00 UTC,,3.4825,,,,
2013-10-07 00:00:00 UTC,,19.69298478,,,,
2013-10-08 00:00:00 UTC,,45.05960492,,,,
2013-10-09 00:00:00 UTC,,28.50144826,,,,
2013-10-10 00:00:00 UTC,,8.16306324,,,,
2013-10-11 00:00:00 UTC,,13.4792203,,,,
2013-10-12 00:00:00 UTC,,5.25388422,,,,
2013-10-13 00:00:00 UTC,,22.37047,,,,
2013-10-14 00:00:00 UTC,,10.07161593,,,,
2013-10-15 00:00:00 UTC,,3.51615407,,,,
2013-10-16 00:00:00 UTC,,25.22095378,,,,
2013-10-17 00:00:00 UTC,,49.43848361,,,,
2013-10-18 00:00:00 UTC,,23.40506257,,,,
2013-10-19 00:00:00 UTC,,7.29380584,,,,
2013-10-20 00:00:00 UTC,,0.02,,,,
2013-10-21 00:00:00 UTC,,22.74,,,,
2013-10-22 00:00:00 UTC,,15.96241154,,,,
2013-10-23 00:00:00 UTC,,63.85814269,,,,
2013-10-24 00:00:00 UTC,,57.49443738,,,,
2013-10-25 00:00:00 UTC,,58.79380178,,,,
2013-10-26 00:00:00 UTC,,28.36738404,,,,
2013-10-27 00:00:00 UTC,,13.54619,,,,
2013-10-28 00:00:00 UTC,,0.59,,,,
2013-10-29 00:00:00 UTC,,20.81819555,,,,
2013-10-30 00:00:00 UTC,,34.12504376,,,,
2013-10-31 00:00:00 UTC,,27.44412582,,,,
2013-11-01 00:00:00 UTC,,8.62730595,,,,
2013-11-02 00:00:00 UTC,,51.97646156,,,,
2013-11-03 00:00:00 UTC,,14.6186369,,,,
2013-11-04 00:00:00 UTC,,45.09830644,,,,
2013-11-05 00:00:00 UTC,,56.22681565,,,,
2013-11-06 00:00:00 UTC,,81.01576411,,,,
2013-11-07 00:00:00 UTC,,110.18422453,,,,
2013-11-08 00:00:00 UTC,,79.09966278,,,,
2013-11-09 00:00:00 UTC,,121.07254131,,,,
2013-11-10 00:00:00 UTC,,112.50151426,,,,
2013-11-11 00:00:00 UTC,,106.27507392,,,,
2013-11-12 00:00:00 UTC,,93.2674603,,,,
2013-11-13 00:00:00 UTC,,176.91278298,,,,
2013-11-14 00:00:00 UTC,,125.08084019,,,,
2013-11-15 00:00:00 UTC,,137.64526728,,,,
2013-11-16 00:00:00 UTC,,59.13835732,,,,
2013-11-17 00:00:00 UTC,,110.1617275,,,,
2013-11-18 00:00:00 UTC,,246.36906874,,,,
2013-11-19 00:00:00 UTC,,406.29670835,,,,
2013-11-20 00:00:00 UTC,,385.76408854,,,,
2013-11-21 00:00:00 UTC,,265.33064734,,,,
2013-11-22 00:00:00 UTC,,248.71558671,,,,
2013-11-23 00:00:00 UTC,,236.79880966,,,,
2013-11-24 00:00:00 UTC,,140.73661875,,,,
2013-11-25 00:00:00 UTC,,275.02194772,,,,
2013-11-26 00:00:00 UTC,,270.50834162,,,,
2013-11-27 00:00:00 UTC,,520.02240612,,,,
2013-11-28 00:00:00 UTC,,459.77232861,,,,
2013-11-29 00:00:00 UTC,,363.95351492,,,3.63911373,
2013-11-30 00:00:00 UTC,,197.22771747,,,7.85628566,
2013-12-01 00:00:00 UTC,,728.91627771,,,2.22528449,
2013-12-02 00:00:00 UTC,,342.23892326,,,19.21190602,
2013-12-03 00:00:00 UTC,,291.61454295,,,13.3536076,
2013-12-04 00:00:00 UTC,,251.11199351,,,3.46001846,
2013-12-05 00:00:00 UTC,,816.19201866,,,10.29833745,
2013-12-06 00:00:00 UTC,,810.77705577,,,13.27737153,
2013-12-07 00:00:00 UTC,,1193.74325802,,,7.24027655,
2013-12-08 00:00:00 UTC,,353.77485877,,,7.2204171,
2013-12-09 00:00:00 UTC,,494.41971418,,,1.08803559,
2013-12-10 00:00:00 UTC,,492.11270685,,,0.35892583,
2013-12-11 00:00:00 UTC,,566.56093971,,,0.13227083,
2013-12-12 00:00:00 UTC,,146.14270585,,,0.15833475,
2013-12-13 00:00:00 UTC,,346.10983022,,,8.30277112,
2013-12-14 00:00:00 UTC,,127.58141866,,,10.26,
2013-12-15 00:00:00 UTC,,231.53993382,,,6.15534705,
2013-12-16 00:00:00 UTC,,1077.62079538,,,6.15167313,
2013-12-17 00:00:00 UTC,,659.08172831,,,1.78600756,
2013-12-18 00:00:00 UTC,,2528.60031216,,,0.66,
2013-12-19 00:00:00 UTC,,1196.74182124,,,0.249,
2013-12-20 00:00:00 UTC,,856.93558614,,,1.41948506,
2013-12-21 00:00:00 UTC,,398.50140782,,,0.03893064,
2013-12-22 00:00:00 UTC,,479.17493961,,,0.02583163,
2013-12-23 00:00:00 UTC,,287.53990823,,,0.01173421,
2013-12-24 00:00:00 UTC,,298.35509127,,,2.93243416,
2013-12-25 00:00:00 UTC,,162.45040901,,,0.23482622,
2013-12-26 00:00:00 UTC,,999.93931988,,,0.75553756,
2013-12-27 00:00:00 UTC,,461.00876936,,,,
2013-12-28 00:00:00 UTC,,219.28182394,,,0.25706,
2013-12-29 00:00:00 UTC,,131.01555154,,,,
2013-12-30 00:00:00 UTC,,174.66796104,,,,
2013-12-31 00:00:00 UTC,,165.90095082,,,,
2014-01-01 00:00:00 UTC,,212.67696734,,,2.12,
2014-01-02 00:00:00 UTC,,482.20429038,,,1.83896,
2014-01-03 00:00:00 UTC,,625.99692174,,,0.50969404,
2014-01-04 00:00:00 UTC,,587.77079176,,,0.3,
2014-01-05 00:00:00 UTC,,1143.764663,,,0.69379914,
2014-01-06 00:00:00 UTC,,1399.72353183,,,,
2014-01-07 00:00:00 UTC,,1104.16001586,,,,
2014-01-08 00:00:00 UTC,,523.27251653,,,,
2014-01-09 00:00:00 UTC,,583.33433051,,,,
2014-01-10 00:00:00 UTC,,323.04737919,,,0.04087192,
2014-01-11 00:00:00 UTC,,561.25679195,,,,
2014-01-12 00:00:00 UTC,,477.75793092,,,,
2014-01-13 00:00:00 UTC,,607.29369353,,,0.00051285,
2014-01-14 00:00:00 UTC,,274.65847099,,,,
2014-01-15 00:00:00 UTC,,346.36364197,,,,
2014-01-16 00:00:00 UTC,,293.7493758,,,,
2014-01-17 00:00:00 UTC,,684.73499283,,,,
2014-01-18 00:00:00 UTC,,282.181119,,,,
2014-01-19 00:00:00 UTC,,331.49333765,,,0.99813,
2014-01-20 00:00:00 UTC,,186.0792289,,,1.99889021,
2014-01-21 00:00:00 UTC,,240.35885873,,,0.1,
2014-01-22 00:00:00 UTC,,248.13988207,,,0.1,
2014-01-23 00:00:00 UTC,,186.77501071,,,,
2014-01-24 00:00:00 UTC,,461.40820413,,,,
2014-01-25 00:00:00 UTC,,191.33798754,,,,
2014-01-26 00:00:00 UTC,,236.82064425,,,0.2020202,
2014-01-27 00:00:00 UTC,,632.4594848,,,0.2,
2014-01-28 00:00:00 UTC,,540.09830289,,,0.03741014,
2014-01-29 00:00:00 UTC,,240.56327348,,,0.02386086,
2014-01-30 00:00:00 UTC,,374.27484208,,,3.69798,
2014-01-31 00:00:00 UTC,,198.43785049,,,,
2014-02-01 00:00:00 UTC,,229.58025867,,,,
2014-02-02 00:00:00 UTC,,150.36622541,,,,
2014-02-03 00:00:00 UTC,,208.4146271,,,0.34544666,
2014-02-04 00:00:00 UTC,,292.6206602,,,0.009975,
2014-02-05 00:00:00 UTC,,229.8458542,,,,
2014-02-06 00:00:00 UTC,,587.67998646,,,1.035,
2014-02-07 00:00:00 UTC,,1448.68947735,,,0.01,
2014-02-08 00:00:00 UTC,,366.53079925,,,0.0095,
2014-02-09 00:00:00 UTC,,449.10112124,,,,
2014-02-10 00:00:00 UTC,,1454.27924432,,,0.97512412,
2014-02-11 00:00:00 UTC,,1109.35389784,,,0.01,
2014-02-12 00:00:00 UTC,,578.00482686,,,,
2014-02-13 00:00:00 UTC,,931.41851177,,,,
2014-02-14 00:00:00 UTC,,1789.82134508,,,,41.41139547
2014-02-15 00:00:00 UTC,,410.31067371,,,,12.18856928
2014-02-16 00:00:00 UTC,,911.9658399,,,,21.45359725
2014-02-17 00:00:00 UTC,,886.99551173,,,0.0381,36.38625764
2014-02-18 00:00:00 UTC,,509.40384399,,,,20.84473994
2014-02-19 00:00:00 UTC,,379.26309695,,,,13.0034361
2014-02-20 00:00:00 UTC,,1600.99943876,,,0.0498,52.55553649
2014-02-21 00:00:00 UTC,,1147.17131688,,,1.12518092,25.78998983
2014-02-22 00:00:00 UTC,,1080.22850689,,,,13.25737802
2014-02-23 00:00:00 UTC,,1061.68489684,,,,21.04015547
2014-02-24 00:00:00 UTC,,1055.88459296,,,0.00939275,29.69798167
2014-02-25 00:00:00 UTC,,2228.74939794,,,0.68,60.1436847
2014-02-26 00:00:00 UTC,,1867.34684378,,,0.0156,105.9319009
2014-02-27 00:00:00 UTC,,888.32209174,,,,45.76669364
2014-02-28 00:00:00 UTC,,1343.53802639,,,,29.32087731
2014-03-01 00:00:00 UTC,,391.15130002,,,,8.04168109
2014-03-02 00:00:00 UTC,,317.07488353,,,,2.16169433
2014-03-03 00:00:00 UTC,,2820.50171809,,,,67.8440946
2014-03-04 00:00:00 UTC,,1806.61737466,,,,27.72139328
2014-03-05 00:00:00 UTC,,873.92038318,,,0.00479276,5.23012654
2014-03-06 00:00:00 UTC,,705.33737599,,,,7.41231484
2014-03-07 00:00:00 UTC,,1197.81750756,,,0.135,10.85544957
2014-03-08 00:00:00 UTC,,550.156437,,,,4.19914366
2014-03-09 00:00:00 UTC,,643.03194041,,,,2.01748158
2014-03-10 00:00:00 UTC,,574.10988982,,,,6.30764832
2014-03-11 00:00:00 UTC,,447.58652549,,,0.09,18.48654959
2014-03-12 00:00:00 UTC,,563.10440169,,,,8.3160946
2014-03-13 00:00:00 UTC,,398.54080354,,,0.05,4.38727322
2014-03-14 00:00:00 UTC,,475.62139021,,,,24.63109263
2014-03-15 00:00:00 UTC,,343.44428002,,,,3.19846133
2014-03-16 00:00:00 UTC,,147.56457996,,,,7.61949564
2014-03-17 00:00:00 UTC,,476.40138107,,,0.09539411,1.9084555
2014-03-18 00:00:00 UTC,,853.8866388,,,,9.0488114
2014-03-19 00:00:00 UTC,,571.80921518,,,1.0189347,5.52856344
2014-03-20 00:00:00 UTC,,735.32827505,,,3.32016,7.82790364
2014-03-21 00:00:00 UTC,,1103.66085876,,,1.58954373,16.27100015
2014-03-22 00:00:00 UTC,,736.18534974,,,,11.83805962
2014-03-23 00:00:00 UTC,,290.05545421,,,,1.31873908
2014-03-24 00:00:00 UTC,,872.49140267,,,,5.68481521
2014-03-25 00:00:00 UTC,,689.77954152,,,,5.97791428
2014-03-26 00:00:00 UTC,,785.65929441,,,1.5,13.08114995
2014-03-27 00:00:00 UTC,,2198.46816794,,,3.22292091,35.31377035
2014-03-28 00:00:00 UTC,,1221.35183226,,,,43.55956496
2014-03-29 00:00:00 UTC,,443.92634757,,,,6.10790794
2014-03-30 00:00:00 UTC,,1378.02518645,,,,33.23922152
