date,block-size
1/2/2009,0.000285
1/3/2009,0.000285
1/4/2009,0.000285
1/5/2009,0.000285
1/6/2009,0.000285
1/7/2009,0.000285
1/8/2009,0.000285
1/9/2009,0.000285
1/10/2009,0.016639
1/11/2009,0.016639
1/12/2009,0.016639
1/13/2009,0.085231
1/14/2009,0.085231
1/15/2009,0.085231
1/16/2009,0.167422
1/17/2009,0.167422
1/18/2009,0.167422
1/19/2009,0.241267
1/20/2009,0.241267
1/21/2009,0.241267
1/22/2009,0.310038
1/23/2009,0.310038
1/24/2009,0.310038
1/25/2009,0.415376
1/26/2009,0.415376
1/27/2009,0.415376
1/28/2009,0.483934
1/29/2009,0.483934
1/30/2009,0.483934
1/31/2009,0.568769
2/1/2009,0.568769
2/2/2009,0.568769
2/3/2009,0.655754
2/4/2009,0.655754
2/5/2009,0.655754
2/6/2009,0.734941
2/7/2009,0.734941
2/8/2009,0.734941
2/9/2009,0.828643
2/10/2009,0.828643
2/11/2009,0.828643
2/12/2009,0.910687
2/13/2009,0.910687
2/14/2009,0.910687
2/15/2009,0.996166
2/16/2009,0.996166
2/17/2009,0.996166
2/18/2009,1.076697
2/19/2009,1.076697
2/20/2009,1.076697
2/21/2009,1.156301
2/22/2009,1.156301
2/23/2009,1.156301
2/24/2009,1.230171
2/25/2009,1.230171
2/26/2009,1.230171
2/27/2009,1.304902
2/28/2009,1.304902
3/1/2009,1.304902
3/2/2009,1.373129
3/3/2009,1.373129
3/4/2009,1.373129
3/5/2009,1.447383
3/6/2009,1.447383
3/7/2009,1.447383
3/8/2009,1.447383
3/9/2009,1.5242
3/10/2009,1.5242
3/11/2009,1.5242
3/12/2009,1.595217
3/13/2009,1.595217
3/14/2009,1.595217
3/15/2009,1.670779
3/16/2009,1.670779
3/17/2009,1.670779
3/18/2009,1.753607
3/19/2009,1.753607
3/20/2009,1.753607
3/21/2009,1.833121
3/22/2009,1.833121
3/23/2009,1.833121
3/24/2009,1.899013
3/25/2009,1.899013
3/26/2009,1.899013
3/27/2009,1.97544
3/28/2009,1.97544
3/29/2009,1.97544
3/30/2009,2.051495
3/31/2009,2.051495
4/1/2009,2.051495
4/2/2009,2.129452
4/3/2009,2.129452
4/4/2009,2.129452
4/5/2009,2.203708
4/6/2009,2.203708
4/7/2009,2.203708
4/8/2009,2.278951
4/9/2009,2.278951
4/10/2009,2.278951
4/11/2009,2.346311
4/12/2009,2.346311
4/13/2009,2.346311
4/14/2009,2.424693
4/15/2009,2.424693
4/16/2009,2.424693
4/17/2009,2.502404
4/18/2009,2.502404
4/19/2009,2.502404
4/20/2009,2.581214
4/21/2009,2.581214
4/22/2009,2.581214
4/23/2009,2.673045
4/24/2009,2.673045
4/25/2009,2.673045
4/26/2009,2.739522
4/27/2009,2.739522
4/28/2009,2.739522
4/29/2009,2.813194
4/30/2009,2.813194
5/1/2009,2.813194
5/2/2009,2.897569
5/3/2009,2.897569
5/4/2009,2.897569
5/5/2009,2.981532
