Date,hash-rate
1/2/2009,4.97E-08
1/3/2009,4.97E-08
1/4/2009,4.97E-08
1/5/2009,0
1/6/2009,0
1/7/2009,0
1/8/2009,0.000000696
1/9/2009,0.000000696
1/10/2009,0.000000696
1/11/2009,4.42E-06
1/12/2009,4.42E-06
1/13/2009,4.42E-06
1/14/2009,6.31E-06
1/15/2009,6.31E-06
1/16/2009,6.31E-06
1/17/2009,5.02E-06
1/18/2009,5.02E-06
1/19/2009,5.02E-06
1/20/2009,5.62E-06
1/21/2009,5.62E-06
1/22/2009,5.62E-06
1/23/2009,9.89E-06
1/24/2009,9.89E-06
1/25/2009,9.89E-06
1/26/2009,5.12E-06
1/27/2009,5.12E-06
1/28/2009,5.12E-06
1/29/2009,6.01E-06
1/30/2009,6.01E-06
1/31/2009,6.01E-06
2/1/2009,6.31E-06
2/2/2009,6.31E-06
2/3/2009,6.31E-06
2/4/2009,6.01E-06
2/5/2009,6.01E-06
2/6/2009,6.01E-06
2/7/2009,6.66E-06
2/8/2009,6.66E-06
2/9/2009,6.66E-06
2/10/2009,6.51E-06
2/11/2009,6.51E-06
2/12/2009,6.51E-06
2/13/2009,7.01E-06
2/14/2009,7.01E-06
2/15/2009,7.01E-06
2/16/2009,5.87E-06
2/17/2009,5.87E-06
2/18/2009,5.87E-06
2/19/2009,6.36E-06
2/20/2009,6.36E-06
2/21/2009,6.36E-06
2/22/2009,0.000005319
2/23/2009,0.000005319
2/24/2009,0.000005319
2/25/2009,4.77E-06
2/26/2009,4.77E-06
2/27/2009,4.77E-06
2/28/2009,5.27E-06
3/1/2009,5.27E-06
3/2/2009,5.27E-06
3/3/2009,5.27E-06
3/4/2009,5.27E-06
3/5/2009,5.27E-06
3/6/2009,5.52E-06
3/7/2009,5.52E-06
3/8/2009,5.52E-06
3/9/2009,5.52E-06
3/10/2009,5.22E-06
3/11/2009,5.22E-06
3/12/2009,5.22E-06
3/13/2009,5.67E-06
3/14/2009,5.67E-06
3/15/2009,5.67E-06
3/16/2009,6.46E-06
3/17/2009,6.46E-06
3/18/2009,6.46E-06
3/19/2009,6.06E-06
3/20/2009,6.06E-06
3/21/2009,6.06E-06
3/22/2009,4.72E-06
3/23/2009,4.72E-06
3/24/2009,4.72E-06
3/25/2009,5.77E-06
3/26/2009,5.77E-06
3/27/2009,5.77E-06
3/28/2009,5.92E-06
3/29/2009,5.92E-06
3/30/2009,5.92E-06
3/31/2009,5.62E-06
4/1/2009,5.62E-06
4/2/2009,5.62E-06
4/3/2009,5.62E-06
4/4/2009,5.62E-06
4/5/2009,5.62E-06
4/6/2009,5.72E-06
4/7/2009,5.72E-06
4/8/2009,5.72E-06
4/9/2009,4.92E-06
4/10/2009,4.92E-06
4/11/2009,4.92E-06
4/12/2009,5.72E-06
4/13/2009,5.72E-06
4/14/2009,5.72E-06
4/15/2009,5.57E-06
4/16/2009,5.57E-06
4/17/2009,5.57E-06
4/18/2009,6.06E-06
4/19/2009,6.06E-06
4/20/2009,6.06E-06
4/21/2009,6.11E-06
4/22/2009,6.11E-06
4/23/2009,6.11E-06
4/24/2009,5.62E-06
4/25/2009,5.62E-06
4/26/2009,5.62E-06
4/27/2009,5.22E-06
4/28/2009,5.22E-06
4/29/2009,5.22E-06
4/30/2009,6.56E-06
5/1/2009,6.56E-06
5/2/2009,6.56E-06
5/3/2009,5.67E-06
5/4/2009,5.67E-06
5/5/2009,5.67E-06
5/6/2009,6.81E-06
5/7/2009,6.81E-06
5/8/2009,6.81E-06
5/9/2009,4.52E-06
5/10/2009,4.52E-06
5/11/2009,4.52E-06
5/12/2009,6.31E-06
5/13/2009,6.31E-06
5/14/2009,6.31E-06
5/15/2009,7.11E-06
5/16/2009,7.11E-06
5/17/2009,7.11E-06
5/18/2009,6.16E-06
5/19/2009,6.16E-06
5/20/2009,6.16E-06
5/21/2009,4.42E-06
5/22/2009,4.42E-06
5/23/2009,4.42E-06
5/24/2009,4.77E-06
5/25/2009,4.77E-06
5/26/2009,4.77E-06
5/27/2009,6.21E-06
5/28/2009,6.21E-06
5/29/2009,6.21E-06
5/30/2009,5.12E-06
5/31/2009,5.12E-06
6/1/2009,5.12E-06
6/2/2009,4.42E-06
6/3/2009,4.42E-06
6/4/2009,4.42E-06
6/5/2009,2.83E-06
6/6/2009,2.83E-06
6/7/2009,2.83E-06
6/8/2009,3.58E-06
6/9/2009,3.58E-06
6/10/2009,3.58E-06
6/11/2009,4.62E-06
6/12/2009,4.62E-06
6/13/2009,4.62E-06
6/14/2009,3.48E-06
6/15/2009,3.48E-06
6/16/2009,3.48E-06
6/17/2009,3.83E-06
6/18/2009,3.83E-06
6/19/2009,3.83E-06
6/20/2009,4.18E-06
6/21/2009,4.18E-06
6/22/2009,4.18E-06
6/23/2009,3.78E-06
6/24/2009,3.78E-06
6/25/2009,3.78E-06
6/26/2009,4.42E-06
6/27/2009,4.42E-06
6/28/2009,4.42E-06
6/29/2009,3.78E-06
6/30/2009,3.78E-06
7/1/2009,3.78E-06
7/2/2009,3.58E-06
7/3/2009,3.58E-06
7/4/2009,3.58E-06
7/5/2009,3.98E-06
7/6/2009,3.98E-06
7/7/2009,3.98E-06
7/8/2009,3.93E-06
7/9/2009,3.93E-06
7/10/2009,3.93E-06
7/11/2009,4.18E-06
7/12/2009,4.18E-06
7/13/2009,4.18E-06
7/14/2009,3.58E-06
7/15/2009,3.58E-06
7/16/2009,3.58E-06
7/17/2009,3.23E-06
7/18/2009,3.23E-06
7/19/2009,3.23E-06
7/20/2009,3.73E-06
7/21/2009,3.73E-06
7/22/2009,3.73E-06
7/23/2009,3.28E-06
7/24/2009,3.28E-06
7/25/2009,3.28E-06
7/26/2009,0.000000646
7/27/2009,0.000000646
7/28/2009,0.000000646
7/29/2009,1.59E-06
7/30/2009,1.59E-06
7/31/2009,1.59E-06
8/1/2009,1.14E-06
8/2/2009,1.14E-06
8/3/2009,1.14E-06
8/4/2009,2.88E-06
8/5/2009,2.88E-06
8/6/2009,2.88E-06
8/7/2009,3.68E-06
8/8/2009,3.68E-06
8/9/2009,3.68E-06
8/10/2009,4.08E-06
8/11/2009,4.08E-06
8/12/2009,4.08E-06
8/13/2009,4.03E-06
8/14/2009,4.03E-06
8/15/2009,4.03E-06
8/16/2009,1.24E-06
8/17/2009,1.24E-06
8/18/2009,1.24E-06
8/19/2009,0.000000746
8/20/2009,0.000000746
8/21/2009,0.000000746
8/22/2009,0.000000398
8/23/2009,0.000000398
8/24/2009,0.000000398
8/25/2009,2.73E-06
8/26/2009,2.73E-06
8/27/2009,2.73E-06
8/28/2009,3.18E-06
8/29/2009,3.18E-06
8/30/2009,3.18E-06
8/31/2009,4.67E-06
9/1/2009,4.67E-06
9/2/2009,4.67E-06
9/3/2009,2.98E-06
9/4/2009,2.98E-06
9/5/2009,2.98E-06
9/6/2009,3.58E-06
9/7/2009,3.58E-06
9/8/2009,3.58E-06
9/9/2009,2.88E-06
9/10/2009,2.88E-06
9/11/2009,2.88E-06
9/12/2009,3.53E-06
9/13/2009,3.53E-06
9/14/2009,3.53E-06
9/15/2009,2.78E-06
9/16/2009,2.78E-06
9/17/2009,2.78E-06
9/18/2009,4.03E-06
9/19/2009,4.03E-06
9/20/2009,4.03E-06
9/21/2009,3.68E-06
9/22/2009,3.68E-06
9/23/2009,3.68E-06
9/24/2009,4.08E-06
9/25/2009,4.08E-06
9/26/2009,4.08E-06
9/27/2009,4.42E-06
9/28/2009,4.42E-06
9/29/2009,4.42E-06
9/30/2009,4.32E-06
10/1/2009,4.32E-06
10/2/2009,4.32E-06
10/3/2009,2.88E-06
10/4/2009,2.88E-06
10/5/2009,2.88E-06
10/6/2009,2.04E-06
10/7/2009,2.04E-06
10/8/2009,2.04E-06
10/9/2009,3.88E-06
10/10/2009,3.88E-06
10/11/2009,3.88E-06
10/12/2009,3.08E-06
10/13/2009,3.08E-06
10/14/2009,3.08E-06
10/15/2009,4.23E-06
10/16/2009,4.23E-06
10/17/2009,4.23E-06
10/18/2009,3.18E-06
10/19/2009,3.18E-06
10/20/2009,3.18E-06
10/21/2009,4.13E-06
10/22/2009,4.13E-06
10/23/2009,4.13E-06
10/24/2009,3.73E-06
10/25/2009,3.73E-06
10/26/2009,3.73E-06
10/27/2009,3.28E-06
10/28/2009,3.28E-06
10/29/2009,3.28E-06
10/30/2009,3.03E-06
10/31/2009,3.03E-06
11/1/2009,1.64E-06
11/2/2009,1.64E-06
11/3/2009,1.64E-06
11/4/2009,3.18E-06
11/5/2009,3.18E-06
11/6/2009,3.18E-06
11/7/2009,3.48E-06
11/8/2009,3.48E-06
11/9/2009,3.48E-06
11/10/2009,3.43E-06
11/11/2009,3.43E-06
11/12/2009,3.43E-06
11/13/2009,4.13E-06
11/14/2009,4.13E-06
11/15/2009,4.13E-06
11/16/2009,4.52E-06
11/17/2009,4.52E-06
11/18/2009,4.52E-06
11/19/2009,4.08E-06
11/20/2009,4.08E-06
11/21/2009,4.08E-06
11/22/2009,4.77E-06
11/23/2009,4.77E-06
11/24/2009,4.77E-06
11/25/2009,3.88E-06
11/26/2009,3.88E-06
11/27/2009,3.88E-06
11/28/2009,2.88E-06
11/29/2009,2.88E-06
11/30/2009,2.88E-06
12/1/2009,4.87E-06
12/2/2009,4.87E-06
12/3/2009,4.87E-06
12/4/2009,2.58E-06
12/5/2009,2.58E-06
12/6/2009,2.58E-06
12/7/2009,5.92E-06
12/8/2009,5.92E-06
12/9/2009,5.92E-06
12/10/2009,6.21E-06
12/11/2009,6.21E-06
12/12/2009,6.21E-06
12/13/2009,5.37E-06
12/14/2009,5.37E-06
12/15/2009,5.37E-06
12/16/2009,8.00E-06
12/17/2009,8.00E-06
12/18/2009,8.00E-06
12/19/2009,8.70E-06
12/20/2009,8.70E-06
12/21/2009,8.70E-06
12/22/2009,8.40E-06
12/23/2009,8.40E-06
12/24/2009,8.40E-06
12/25/2009,7.90E-06
12/26/2009,7.90E-06
12/27/2009,7.90E-06
12/28/2009,8.15E-06
12/29/2009,8.15E-06
12/30/2009,8.15E-06
12/31/2009,7.00E-06
1/1/2010,7.00E-06
1/2/2010,7.00E-06
1/3/2010,1.12E-05
1/4/2010,1.12E-05
1/5/2010,1.12E-05
1/6/2010,9.35E-06
1/7/2010,9.35E-06
1/8/2010,9.35E-06
1/9/2010,1.12E-05
1/10/2010,1.12E-05
1/11/2010,1.12E-05
1/12/2010,1.03E-05
1/13/2010,1.03E-05
1/14/2010,1.03E-05
1/15/2010,8.69E-06
1/16/2010,8.69E-06
1/17/2010,8.69E-06
1/18/2010,7.72E-06
1/19/2010,7.72E-06
1/20/2010,7.72E-06
1/21/2010,9.73E-06
1/22/2010,9.73E-06
1/23/2010,9.73E-06
1/24/2010,1.36E-05
1/25/2010,1.36E-05
1/26/2010,1.36E-05
1/27/2010,1.16E-05
1/28/2010,1.16E-05
1/29/2010,1.16E-05
1/30/2010,1.38E-05
1/31/2010,1.38E-05
2/1/2010,1.38E-05
2/2/2010,1.62E-05
2/3/2010,1.62E-05
2/4/2010,1.62E-05
2/5/2010,1.73E-05
2/6/2010,1.73E-05
2/7/2010,1.73E-05
2/8/2010,1.89E-05
2/9/2010,1.89E-05
2/10/2010,1.89E-05
2/11/2010,1.69E-05
2/12/2010,1.69E-05
2/13/2010,1.69E-05
2/14/2010,2.32E-05
2/15/2010,2.32E-05
2/16/2010,2.32E-05
2/17/2010,2.88E-05
2/18/2010,2.88E-05
2/19/2010,2.88E-05
2/20/2010,2.69E-05
2/21/2010,2.69E-05
2/22/2010,2.69E-05
2/23/2010,3.57E-05
2/24/2010,3.57E-05
2/25/2010,3.57E-05
2/26/2010,3.25E-05
2/27/2010,3.25E-05
2/28/2010,3.25E-05
3/1/2010,3.68E-05
3/2/2010,3.68E-05
3/3/2010,3.68E-05
3/4/2010,3.29E-05
3/5/2010,3.29E-05
3/6/2010,3.29E-05
3/7/2010,3.06E-05
3/8/2010,3.06E-05
3/9/2010,3.06E-05
3/10/2010,3.29E-05
3/11/2010,3.29E-05
3/12/2010,3.29E-05
3/13/2010,2.82E-05
3/14/2010,2.82E-05
3/15/2010,2.82E-05
3/16/2010,2.82E-05
3/17/2010,2.77E-05
3/18/2010,2.77E-05
3/19/2010,2.77E-05
3/20/2010,4.35E-05
3/21/2010,4.35E-05
3/22/2010,4.35E-05
3/23/2010,4.65E-05
3/24/2010,4.65E-05
3/25/2010,4.65E-05
3/26/2010,4.43E-05
3/27/2010,4.43E-05
3/28/2010,4.43E-05
3/29/2010,4.36E-05
3/30/2010,4.36E-05
3/31/2010,4.36E-05
4/1/2010,5.72E-05
4/2/2010,5.72E-05
4/3/2010,5.72E-05
4/4/2010,5.02E-05
4/5/2010,5.02E-05
4/6/2010,5.02E-05
4/7/2010,5.84E-05
4/8/2010,5.84E-05
4/9/2010,5.84E-05
4/10/2010,7.26E-05
4/11/2010,7.26E-05
4/12/2010,7.26E-05
4/13/2010,6.41E-05
4/14/2010,6.41E-05
4/15/2010,6.41E-05
4/16/2010,7.85E-05
4/17/2010,7.85E-05
4/18/2010,7.85E-05
4/19/2010,8.44E-05
4/20/2010,8.44E-05
4/21/2010,8.44E-05
4/22/2010,0.000100871
4/23/2010,0.000100871
4/24/2010,0.000100871
4/25/2010,9.63E-05
4/26/2010,9.63E-05
4/27/2010,9.63E-05
4/28/2010,9.97E-05
4/29/2010,9.97E-05
4/30/2010,9.97E-05
5/1/2010,9.29E-05
5/2/2010,9.29E-05
5/3/2010,9.29E-05
5/4/2010,8.30E-05
5/5/2010,8.30E-05
5/6/2010,8.30E-05
5/7/2010,8.37E-05
5/8/2010,8.37E-05
5/9/2010,8.37E-05
5/10/2010,8.75E-05
5/11/2010,8.75E-05
5/12/2010,8.75E-05
5/13/2010,8.30E-05
5/14/2010,8.30E-05
5/15/2010,8.30E-05
5/16/2010,6.13E-05
5/17/2010,6.13E-05
5/18/2010,6.13E-05
5/19/2010,0.000103475
5/20/2010,0.000103475
5/21/2010,0.000103475
5/22/2010,0.000113065
5/23/2010,0.000113065
5/24/2010,0.000113065
5/25/2010,0.000126609
5/26/2010,0.000126609
5/27/2010,0.000126609
5/28/2010,0.000128965
5/29/2010,0.000128965
5/30/2010,0.000128965
5/31/2010,0.000125573
6/1/2010,0.000125573
6/2/2010,0.000125573
6/3/2010,0.000129704
6/4/2010,0.000129704
6/5/2010,0.000129704
6/6/2010,0.000124747
6/7/2010,0.000124747
6/8/2010,0.000124747
6/9/2010,0.000133834
6/10/2010,0.000133834
6/11/2010,0.000133834
6/12/2010,0.000118373
6/13/2010,0.000118373
6/14/2010,0.000118373
6/15/2010,0.000169352
6/16/2010,0.000169352
6/17/2010,0.000169352
6/18/2010,0.000127878
6/19/2010,0.000127878
6/20/2010,0.000127878
6/21/2010,0.000139974
6/22/2010,0.000139974
6/23/2010,0.000139974
6/24/2010,0.00017556
6/25/2010,0.00017556
6/26/2010,0.00017556
6/27/2010,0.000153374
6/28/2010,0.000153374
6/29/2010,0.000153374
6/30/2010,0.00017749
7/1/2010,0.00017749
7/2/2010,0.00017749
7/3/2010,0.000192924
7/4/2010,0.000192924
7/5/2010,0.000192924
7/6/2010,0.000196267
7/7/2010,0.000196267
7/8/2010,0.000196267
7/9/2010,0.0002208
7/10/2010,0.0002208
7/11/2010,0.0002208
7/12/2010,0.000599314
7/13/2010,0.000599314
7/14/2010,0.000599314
7/15/2010,0.001407832
7/16/2010,0.001407832
7/17/2010,0.001407832
7/18/2010,0.001615397
7/19/2010,0.001615397
7/20/2010,0.001615397
7/21/2010,0.001822962
7/22/2010,0.001822962
7/23/2010,0.001822962
7/24/2010,0.001669545
7/25/2010,0.001669545
7/26/2010,0.001669545
7/27/2010,0.002124483
7/28/2010,0.002124483
7/29/2010,0.002124483
7/30/2010,0.002209463
7/31/2010,0.002209463
8/1/2010,0.002209463
8/2/2010,0.003083536
8/3/2010,0.003083536
8/4/2010,0.003083536
8/5/2010,0.002962137
8/6/2010,0.002962137
8/7/2010,0.002962137
8/8/2010,0.003361158
8/9/2010,0.003361158
8/10/2010,0.003361158
8/11/2010,0.003798808
8/12/2010,0.003798808
8/13/2010,0.003798808
8/14/2010,0.004569073
8/15/2010,0.004569073
8/16/2010,0.004569073
8/17/2010,0.003332692
8/18/2010,0.003332692
8/19/2010,0.003332692
8/20/2010,0.004248547
8/21/2010,0.004248547
8/22/2010,0.004248547
8/23/2010,0.005520567
8/24/2010,0.005520567
8/25/2010,0.005520567
8/26/2010,0.005291603
8/27/2010,0.005291603
8/28/2010,0.005291603
8/29/2010,0.00489622
8/30/2010,0.00489622
8/31/2010,0.00489622
9/1/2010,0.005454017
9/2/2010,0.005454017
9/3/2010,0.005454017
9/4/2010,0.005546983
9/5/2010,0.005546983
9/6/2010,0.005546983
9/7/2010,0.004679299
9/8/2010,0.004679299
9/9/2010,0.004679299
9/10/2010,0.006059847
9/11/2010,0.006059847
9/12/2010,0.006059847
9/13/2010,0.005811783
9/14/2010,0.005811783
9/15/2010,0.005811783
9/16/2010,0.006733163
9/17/2010,0.006733163
9/18/2010,0.006733163
9/19/2010,0.009581379
9/20/2010,0.009581379
9/21/2010,0.009581379
9/22/2010,0.007893231
9/23/2010,0.007893231
9/24/2010,0.007893231
9/25/2010,0.009216374
9/26/2010,0.009216374
9/27/2010,0.009216374
9/28/2010,0.009855133
9/29/2010,0.009855133
9/30/2010,0.009855133
10/1/2010,0.010226025
10/2/2010,0.010226025
10/3/2010,0.010226025
10/4/2010,0.010094922
10/5/2010,0.010094922
10/6/2010,0.010094922
10/7/2010,0.0113404
10/8/2010,0.0113404
10/9/2010,0.0113404
10/10/2010,0.011274848
10/11/2010,0.011274848
10/12/2010,0.011274848
10/13/2010,0.011576864
10/14/2010,0.011576864
10/15/2010,0.011576864
10/16/2010,0.016372014
10/17/2010,0.016372014
10/18/2010,0.016372014
10/19/2010,0.016646023
10/20/2010,0.016646023
10/21/2010,0.016646023
10/22/2010,0.016344753
10/23/2010,0.016344753
10/24/2010,0.016344753
