Date,n-transactions-total
1/2/2009,1
1/3/2009,1
1/4/2009,1
1/5/2009,1
1/6/2009,1
1/7/2009,1
1/8/2009,1
1/9/2009,1
1/10/2009,77
1/11/2009,77
1/12/2009,77
1/13/2009,394
1/14/2009,394
1/15/2009,394
1/16/2009,768
1/17/2009,768
1/18/2009,768
1/19/2009,1102
1/20/2009,1102
1/21/2009,1102
1/22/2009,1412
1/23/2009,1412
1/24/2009,1412
1/25/2009,1892
1/26/2009,1892
1/27/2009,1892
1/28/2009,2199
1/29/2009,2199
1/30/2009,2199
1/31/2009,2577
2/1/2009,2577
2/2/2009,2577
2/3/2009,2975
2/4/2009,2975
2/5/2009,2975
2/6/2009,3342
2/7/2009,3342
2/8/2009,3342
2/9/2009,3743
2/10/2009,3743
2/11/2009,3743
2/12/2009,4117
2/13/2009,4117
2/14/2009,4117
2/15/2009,4508
2/16/2009,4508
2/17/2009,4508
2/18/2009,4866
2/19/2009,4866
2/20/2009,4866
2/21/2009,5227
2/22/2009,5227
2/23/2009,5227
2/24/2009,5566
2/25/2009,5566
2/26/2009,5566
2/27/2009,5894
2/28/2009,5894
3/1/2009,5894
3/2/2009,6207
3/3/2009,6207
3/4/2009,6207
3/5/2009,6533
3/6/2009,6533
3/7/2009,6533
3/8/2009,6533
3/9/2009,6877
3/10/2009,6877
3/11/2009,6877
3/12/2009,7206
3/13/2009,7206
3/14/2009,7206
3/15/2009,7549
3/16/2009,7549
3/17/2009,7549
3/18/2009,7908
3/19/2009,7908
3/20/2009,7908
3/21/2009,8265
3/22/2009,8265
3/23/2009,8265
3/24/2009,8566
3/25/2009,8566
3/26/2009,8566
3/27/2009,8906
3/28/2009,8906
3/29/2009,8906
3/30/2009,9250
3/31/2009,9250
4/1/2009,9250
4/2/2009,9595
4/3/2009,9595
4/4/2009,9595
4/5/2009,9939
4/6/2009,9939
4/7/2009,9939
4/8/2009,10280
4/9/2009,10280
4/10/2009,10280
4/11/2009,10592
4/12/2009,10592
4/13/2009,10592
4/14/2009,10949
4/15/2009,10949
4/16/2009,10949
4/17/2009,11309
4/18/2009,11309
4/19/2009,11309
4/20/2009,11671
4/21/2009,11671
4/22/2009,11671
4/23/2009,12037
4/24/2009,12037
4/25/2009,12037
4/26/2009,12345
4/27/2009,12345
4/28/2009,12345
4/29/2009,12680
4/30/2009,12680
5/1/2009,12680
5/2/2009,13061
5/3/2009,13061
5/4/2009,13061
5/5/2009,13427
5/6/2009,13427
5/7/2009,13427
5/8/2009,13820
5/9/2009,13820
5/10/2009,13820
5/11/2009,14090
5/12/2009,14090
5/13/2009,14090
5/14/2009,14457
5/15/2009,14457
5/16/2009,14457
5/17/2009,14855
5/18/2009,14855
5/19/2009,14855
5/20/2009,15186
5/21/2009,15186
5/22/2009,15186
5/23/2009,15450
5/24/2009,15450
5/25/2009,15450
5/26/2009,15690
5/27/2009,15690
5/28/2009,15690
5/29/2009,16029
5/30/2009,16029
5/31/2009,16029
6/1/2009,16342
6/2/2009,16342
6/3/2009,16342
6/4/2009,16596
6/5/2009,16596
6/6/2009,16596
6/7/2009,16719
6/8/2009,16719
6/9/2009,16719
6/10/2009,16908
6/11/2009,16908
6/12/2009,16908
6/13/2009,17165
6/14/2009,17165
6/15/2009,17165
6/16/2009,17399
6/17/2009,17399
6/18/2009,17399
6/19/2009,17629
6/20/2009,17629
6/21/2009,17629
6/22/2009,17875
6/23/2009,17875
6/24/2009,17875
6/25/2009,18125
6/26/2009,18125
6/27/2009,18125
6/28/2009,18368
6/29/2009,18368
6/30/2009,18368
7/1/2009,18585
7/2/2009,18585
7/3/2009,18585
7/4/2009,18826
7/5/2009,18826
7/6/2009,18826
7/7/2009,19078
7/8/2009,19078
7/9/2009,19078
7/10/2009,19307
7/11/2009,19307
7/12/2009,19307
7/13/2009,19548
7/14/2009,19548
7/15/2009,19548
7/16/2009,19740
7/17/2009,19740
7/18/2009,19740
7/19/2009,19863
7/20/2009,19863
7/21/2009,19863
7/22/2009,20085
7/23/2009,20085
7/24/2009,20085
7/25/2009,20294
7/26/2009,20294
7/27/2009,20294
7/28/2009,20421
7/29/2009,20421
7/30/2009,20421
7/31/2009,20498
8/1/2009,20498
8/2/2009,20498
8/3/2009,20566
8/4/2009,20566
8/5/2009,20566
8/6/2009,20746
8/7/2009,20746
8/8/2009,20746
8/9/2009,20997
8/10/2009,20997
8/11/2009,20997
8/12/2009,21243
8/13/2009,21243
8/14/2009,21243
8/15/2009,21454
8/16/2009,21454
8/17/2009,21454
8/18/2009,21517
8/19/2009,21517
8/20/2009,21517
8/21/2009,21567
8/22/2009,21567
8/23/2009,21567
8/24/2009,21602
8/25/2009,21602
8/26/2009,21602
8/27/2009,21718
8/28/2009,21718
8/29/2009,21718
8/30/2009,21900
8/31/2009,21900
9/1/2009,21900
9/2/2009,22164
9/3/2009,22164
9/4/2009,22164
9/5/2009,22355
9/6/2009,22355
9/7/2009,22355
9/8/2009,22578
9/9/2009,22578
9/10/2009,22578
9/11/2009,22768
9/12/2009,22768
9/13/2009,22768
9/14/2009,22979
9/15/2009,22979
9/16/2009,22979
9/17/2009,23170
9/18/2009,23170
9/19/2009,23170
9/20/2009,23407
9/21/2009,23407
9/22/2009,23407
9/23/2009,23582
9/24/2009,23582
9/25/2009,23582
9/26/2009,23807
9/27/2009,23807
9/28/2009,23807
9/29/2009,24080
9/30/2009,24080
10/1/2009,24080
10/2/2009,24337
10/3/2009,24337
10/4/2009,24337
10/5/2009,24521
10/6/2009,24521
10/7/2009,24521
10/8/2009,24681
10/9/2009,24681
10/10/2009,24681
10/11/2009,24907
10/12/2009,24907
10/13/2009,24907
10/14/2009,25097
10/15/2009,25097
10/16/2009,25097
10/17/2009,25298
10/18/2009,25298
10/19/2009,25298
