date,neg,neu,pos,compound
2021-04-15,0.018,0.811,0.17,0.9987
2021-04-14,0.019,0.795,0.186,0.9989
2021-04-13,0.014,0.822,0.164,0.9987
2021-04-12,0.021,0.769,0.21,0.9992
2021-04-11,0.022,0.785,0.193,0.9991
2021-04-10,0.027,0.78,0.193,0.9991
2021-04-09,0.01,0.788,0.202,0.9993
2021-04-08,0.049,0.756,0.195,0.9989
2021-04-07,0.054,0.818,0.128,0.9958
2021-04-06,0.065,0.808,0.127,0.9898
2021-04-05,0.064,0.767,0.169,0.9957
2021-04-04,0.051,0.801,0.148,0.9957
2021-04-03,0.052,0.785,0.163,0.9977
2021-04-02,0.021,0.848,0.131,0.9966
2021-04-01,0.06,0.784,0.156,0.9951
2021-03-31,0.042,0.774,0.184,0.9983
2021-03-30,0.046,0.809,0.145,0.9967
2021-03-29,0.076,0.758,0.166,0.9963
2021-03-28,0.058,0.787,0.155,0.9969
2021-03-27,0.08,0.782,0.138,0.9858
2021-03-26,0.083,0.749,0.168,0.9962
2021-03-25,0.054,0.785,0.162,0.9971
2021-03-24,0.066,0.781,0.153,0.992
2021-03-23,0.075,0.768,0.157,0.9945
2021-03-22,0.037,0.791,0.172,0.9977
2021-03-21,0.091,0.781,0.128,0.9686
2021-03-20,0.121,0.745,0.134,0.4153
2021-03-19,0.027,0.77,0.203,0.9988
2021-03-18,0.024,0.842,0.134,0.9973
2021-03-17,0.044,0.824,0.131,0.9948
2021-03-16,0.071,0.767,0.162,0.9964
2021-03-15,0.086,0.782,0.132,0.9846
2021-03-14,0.077,0.776,0.148,0.9905
2021-03-13,0.054,0.795,0.151,0.9969
2021-03-12,0.055,0.757,0.188,0.9978
2021-03-11,0.078,0.774,0.148,0.9896
2021-03-10,0.07,0.788,0.143,0.9941
2021-03-09,0.101,0.777,0.123,0.9275
2021-03-08,0.069,0.778,0.153,0.9954
2021-03-07,0.079,0.788,0.134,0.9917
2021-03-06,0.071,0.856,0.073,-0.3578
2021-03-05,0.048,0.72,0.232,0.9993
2021-03-04,0.053,0.817,0.131,0.993
2021-03-03,0.061,0.782,0.157,0.9971
2021-03-02,0.041,0.834,0.126,0.995
2021-03-01,0.088,0.781,0.13,0.983
2021-02-28,0.113,0.723,0.164,0.9796
2021-02-27,0.05,0.828,0.122,0.9926
2021-02-26,0.07,0.767,0.163,0.9964
2021-02-25,0.075,0.797,0.127,0.9855
2021-02-24,0.028,0.807,0.165,0.9968
2021-02-23,0.033,0.84,0.127,0.9941
2021-02-22,0.091,0.746,0.163,0.9937
2021-02-21,0.078,0.801,0.121,0.9698
2021-02-20,0.08,0.784,0.137,0.993
2021-02-19,0.058,0.729,0.213,0.9977
2021-02-18,0.06,0.797,0.144,0.9948
2021-02-17,0.072,0.757,0.171,0.997
2021-02-16,0.069,0.831,0.1,0.9575
2021-02-15,0.055,0.816,0.128,0.9929
2021-02-14,0.058,0.772,0.17,0.9975
2021-02-13,0.034,0.829,0.137,0.9958
2021-02-12,0.082,0.792,0.126,0.9825
